ITEM_ID,VISIT_AREA_NM,X_COORD,Y_COORD
1,#단양노트,128.3696378,36.98170213
2,(구)전남도청사,126.919732,35.14692163
3,(재)수원컨벤션센터,127.0595135,37.2858235
4,108하늘계단,126.9818899,37.54644598
5,10호어린이공원,126.4840599,33.48678967
6,1100고지습지 람사르습지,126.4636297,33.35801935
6,1100고지습지 람사르습지,126.4636297,33.35801935
7,1158족욕카페,126.3364998,33.46707849
8,168계단모노레일,129.0354576,35.11719115
8,168계단모노레일,129.0354576,35.11719115
9,1913송정역시장,126.7919428,35.13642559
9,1913송정역시장,126.7919428,35.13642559
10,19호어린이공원,126.5415469,33.50390071
11,2.28기념중앙공원,128.5976718,35.86969161
12,2018평창동계올림픽대회 및 동계패럴림픽대회기념관,128.7067229,37.6668389
12,2018평창동계올림픽대회 및 동계패럴림픽대회기념관,128.7067229,37.6668389
13,2022 괴산 세계유기농 산업엑스포,128.861008,37.85044049
14,2022 괴산세계유기농산업엑스포,127.354537,35.33660814
15,2022 괴산세계유기농산업엑스포조직위원회 괴산사무소,127.7837173,36.81461242
16,2022 서신면 한마음 어울림 마당 축제,126.492769,33.50707896
17,2022계룡세계군문화엑스포,127.237103,36.30676543
17,2022계룡세계군문화엑스포,127.237103,36.30676543
18,2022보령해양머드박람회,126.5150401,36.31460697
19,2022영주세계풍기인삼엑스포,128.5190396,36.86783878
20,228기념중앙공원 청소년광장,128.5975746,35.86931713
20,228기념중앙공원 청소년광장,128.5975746,35.86931713
20,228기념중앙공원 청소년광장,128.5975746,35.86931713
21,264작은문학관,128.5922074,35.87397342
22,3.15의거탑,128.5692491,35.20313054
23,3.1독립선언광장,126.9847295,37.5723041
24,3.1운동계단,128.5862995,35.86754173
25,3.8의거둔지미공원,127.3754681,36.35704995
26,3.최북미술관(전시관람),127.6653307,36.00302913
27,365계단,126.3946136,35.36209103
28,365세이프타운,129.0296274,37.10186832
29,39-17마중,126.7105262,35.03349903
30,4est수목원,126.5981337,34.45118639
31,5.16도로숲터널,126.624959,33.3666647
32,5.18기념공원,126.8568918,35.15627391
33,5.18민주광장,126.9198017,35.14749134
34,5.18민주화운동기록관,126.9167674,35.14956693
35,5.18자유공원,126.8403358,35.14892877
36,5.18자유공원주차장,126.8397226,35.14824924
37,518공원,126.6290099,37.66522889
38,6.25전쟁체험전시관,128.3736863,38.58407809
39,63아트홀,126.9404583,37.51990689
40,83타워,128.5666908,35.85316806
40,83타워,128.5666908,35.85316806
41,9.81파크,126.366664,33.39028982
41,9.81파크,126.366664,33.39028982
42,AMC 모터페스티벌,126.9228544,37.33297169
43,APAP전망대,126.9261803,37.42117332
44,APEC나루공원,129.1256541,35.17023683
45,Apple 가로수길,127.0227294,37.52081982
46,BHC치킨 에버랜드점,127.2000476,37.29183431
47,BIFF거리,129.0290898,35.09852829
47,BIFF거리,129.0290898,35.09852829
47,BIFF거리,129.0290898,35.09852829
48,BIFF광장,129.0290456,35.09886787
48,BIFF광장,129.0290456,35.09886787
48,BIFF광장,129.0290456,35.09886787
49,BMW 도이치모터스 양재전시장,127.0359395,37.46135455
50,BMW 한독모터스 수원전시장,127.0970678,37.26933666
51,BMW드라이빙센터,126.4870497,37.46198749
51,BMW드라이빙센터,126.4870497,37.46198749
52,BMW모토라드 광주전시장,126.8757676,35.1515662
53,CGV 서면상상마당,129.0575011,35.15427308
54,CGV 압구정 본관,127.0286471,37.52455679
55,CN스파,126.9983263,37.49979345
56,CU 오색터미널점,128.4537838,38.07716807
57,DGB대구은행파크,128.5882427,35.88124947
58,DMZ 장단콩두부마을,126.6896479,37.78613016
59,DMZ박물관,128.382568,38.5762556
59,DMZ박물관,128.382568,38.5762556
59,DMZ박물관,128.382568,38.5762556
60,DMZ생생누리,126.7403683,37.89042992
61,DMZ철원평화관광,127.2880885,38.18688558
62,EL16.52,129.0194402,35.06311809
63,ESC방탈출카페 홍대점,126.9225253,37.55181713
64,Fe01갤러리&카페,129.3079028,35.35757173
65,Fpc 한수위 수산물대축제,127.1101005,37.32162865
66,G타워전망대,126.6342006,37.39608587
67,H&M 명동중앙길점,126.9851184,37.56354737
68,ICC제주갤러리,126.4244423,33.24129026
69,ICC제주국제컨벤션센터,126.4244399,33.24131911
69,ICC제주국제컨벤션센터,126.4244399,33.24131911
70,J1카트클럽,126.526551,33.47979431
70,J1카트클럽,126.6886562,33.54599701
71,K-water 김천부항댐 물문화관,128.0054294,35.98267362
72,K-water 충주댐 물문화관,127.9973389,37.00451262
73,K-water 한탄강댐 물문화관,127.1284509,38.06302607
74,K-water 합천댐 물문화관,128.029469,35.53137841
75,K1볼링장 전주점,127.1443089,35.82082607
76,KAIST 본원,127.3612861,36.37049682
77,KBS아레나,126.8479626,37.55675872
78,KFC 대학로점,127.0022914,37.58187452
79,KT&G상상마당 부산,129.0572989,35.1542603
80,KT&G상상마당 춘천,127.7024032,37.87351024
81,KT&G상상마당 춘천아트센터,127.7022648,37.87378135
82,KT&G상상마당 홍대,126.9210685,37.55100888
83,KT경주수련관 수영장,129.288992,35.8375639
84,KT경주수련관 탁구장,129.288992,35.8375639
85,K현대미술관,127.0391332,37.52434988
86,L7 홍대,126.9215616,37.555698
87,LG아트센터 서울,126.8292781,37.56536922
88,LG챔피언스파크,127.5055569,37.22918848
89,M1971 요트투어,126.257123,33.21012367
89,M1971 요트투어,126.257123,33.21012367
90,MPX갤러리,126.9259604,37.52505513
91,Nc대전유성점 챔피언,127.3438949,36.3535642
92,SH아트홀,127.0035684,37.5798887
93,STX리조트 SPA산토리니,127.9642063,36.56934573
94,T팩토리,126.9223949,37.55534536
95,YES24 중고서점 대구반월당점,128.5893523,35.86496015
96,dtc갤러리,127.4367432,36.3503172
97,k팝스타코인노래연습장,127.0608906,37.49836138
98,가거도 독실산,125.1086069,34.0761352
99,가거도등대,125.0992181,34.09468628
100,가경주항,126.4107249,36.40692222
101,가경터미널시장,127.4344374,36.62735064
102,가계해변,126.3547268,34.43484109
102,가계해변,126.3547268,34.43484109
103,가구공감,126.9329706,37.51898025
104,가나다라브루어리,128.1563329,36.61483244
105,가나아트센터,126.9751192,37.61230741
106,가나아트파크,126.9496635,37.72556692
107,가나아트파크 미술관,126.9487518,37.72519173
108,가나아트파크 아트놀이터,126.9490691,37.72569641
109,가나아트파크 야외공연장,126.9496364,37.72540834
110,가나아트파크 어린이체험관,126.9497493,37.72621926
111,가나아트파크 조각공원,126.9496815,37.72586605
112,가는길에공방,126.527675,33.51235963
113,가덕도,128.817201,35.02284639
114,가디언다이브리조트,126.611279,33.26005075
115,가락동농수산물도매시장 수산시장,127.1088587,37.49280555
116,가마미해수욕장,126.4082127,35.39891655
117,가마오름,126.2470142,33.30554955
